Influencer ID,Average Performance,Performance Variance,Video Count,Face Images
influencer_34,1.307943366975,0.1719614630720902,4,"faces/f1bf5a6cc34759cfc7a158fa83a6ee75.jpg, faces/f1bf5a6cc34759cfc7a158fa83a6ee75.jpg, faces/f1bf5a6cc34759cfc7a158fa83a6ee75.jpg, faces/f1bf5a6cc34759cfc7a158fa83a6ee75.jpg"
influencer_3,1.259892452830189,0.4737371403203987,53,"faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/9f5b207deac3070fdc3198bac98e5e1f.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/c15d1559d93d6ef1afe93534b0690b07.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/d48b98453fe13b439b935ed81f393cf4.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/7b45346b1f06bf56dfe644003cadf356.jpg, faces/ae4fe4e5f8af0a0469ec2bfab80ff75c.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/73d7f40c11236f8b3747fbc6d5e0eeaf.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/d48b98453fe13b439b935ed81f393cf4.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/a3d937afeeaf28e8eb1c00813109b778.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/d48b98453fe13b439b935ed81f393cf4.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/98c097c4166819ad80ddf45a98960057.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/f281b0a6e22042fae7a7f02dfff3fff5.jpg, faces/8953afec89309ab3c8af915e01627c5d.jpg, faces/d48b98453fe13b439b935ed81f393cf4.jpg, faces/7b45346b1f06bf56dfe644003cadf356.jpg, faces/ae4fe4e5f8af0a0469ec2bfab80ff75c.jpg"
influencer_14,1.2417320009,0.2982765118571163,2,"faces/7e72e3c9d228eb4762fba471994eb198.jpg, faces/7e72e3c9d228eb4762fba471994eb198.jpg"
influencer_16,1.2417320009,0.2982765118571163,2,"faces/a1cf72493bb0c525fa09aae720ed7858.jpg, faces/a1cf72493bb0c525fa09aae720ed7858.jpg"
influencer_11,1.13048487865,0.0190728778757413,2,"faces/07712c6c8f76d928adc8604387104ef3.jpg, faces/07712c6c8f76d928adc8604387104ef3.jpg"
influencer_10,1.1227,0.0,1,faces/a78b8696ba89189eeb54cfebc370cdf9.jpg
influencer_13,1.1102475326090908,0.1458305727221078,11,"faces/dc28a21f0abade26ede40a7e51b53b7a.jpg, faces/dc28a21f0abade26ede40a7e51b53b7a.jpg, faces/d6e2644b62c09c3ec9b41686939828d6.jpg, faces/47f335fbc43b59aea94376eebd03f3f3.jpg, faces/b068a18694c0f3957b4778ef590718c2.jpg, faces/47f335fbc43b59aea94376eebd03f3f3.jpg, faces/247250f0355a516ec634fd7bd74bd9d7.jpg, faces/47f335fbc43b59aea94376eebd03f3f3.jpg, faces/47f335fbc43b59aea94376eebd03f3f3.jpg, faces/61bbc656408c21162cfc42208621dd02.jpg, faces/b068a18694c0f3957b4778ef590718c2.jpg"
influencer_8,1.0806315789473682,0.3692586179501385,19,"faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/f4d20cb8e919405a7ec9e3699b1d2f95.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg, faces/b8b5a717bad4707981cc71674ac55071.jpg"
influencer_15,1.07390057295,0.2022000464785364,8,"faces/1e518ac85da9e588c4350258ae2d87d6.jpg, faces/1e518ac85da9e588c4350258ae2d87d6.jpg, faces/eb67c2679f661ce5339a5d43f4160de0.jpg, faces/6b81062ae24402dd9af249303b8464d6.jpg, faces/6b81062ae24402dd9af249303b8464d6.jpg, faces/6b81062ae24402dd9af249303b8464d6.jpg, faces/a0b41f7cb29b37db23b1001e5cc9eff1.jpg, faces/6b81062ae24402dd9af249303b8464d6.jpg"
influencer_35,1.06452448145,0.0134643079375657,2,"faces/6112270b7957a5bf755dae1ee143d9bd.jpg, faces/6112270b7957a5bf755dae1ee143d9bd.jpg"
